facet_id,name,raw_name
risktaking,Risktaking,Risktaking
naivety,Naivety,Naivety
acidity,Acidity,Acidity
democratic-leadership,Democratic Leadership,Democratic Leadership:
common-sense,Common-sense,Common-sense
hesitation,Hesitation,Hesitation
discontentment,Discontentment,Discontentment
overprotectiveness,Overprotectiveness,Overprotectiveness
merriness,Merriness,Merriness
emotionalism,Emotionalism,Emotionalism
self-improvement,Self-improvement,Self-improvement
statistical-reasoning,Statistical Reasoning,Statistical Reasoning
assertiveness-and-control-in-relationships,Assertiveness and control in relationships,Assertiveness and control in relationships
cunningness,Cunningness,Cunningness
adventure-seeking-behavior,Adventure-Seeking Behavior,Adventure-Seeking Behavior
compassion-fatigue,Compassion Fatigue,Compassion Fatigue
moroseness,Moroseness,Moroseness
specialist,Specialist,Specialist
aloofness,Aloofness,Aloofness
genuine,Genuine,Genuine
determinedness,Determinedness,Determinedness
honesty-humility,Honesty Humility,HonestyHumility:
relationship-building-themes,Relationship Building Themes,Relationship Building Themes:
pure-challenge,Pure Challenge,Pure Challenge
numerical-reasoning-subcomponents,Numerical Reasoning Subcomponents,Numerical Reasoning Subcomponents:
openness,Openness,Openness
self-esteem,Self Esteem,SelfEsteem
comparing-alphanumeric-data,Comparing alphanumeric data,Comparing alphanumeric data
big-heartedness,Big-heartedness,Big-heartedness
compulsive-activities,Compulsive activities,Compulsive activities
disrespect,Disrespect,Disrespect
fsh-level,FSH level,FSH level
self-perspective,Self Perspective,Self Perspective
desperation,Desperation,Desperation
affiliation-motivation,Affiliation Motivation,Affiliation Motivation:
anatomy-knowledge,Anatomy knowledge,Anatomy knowledge
passive-aggressive,Passive-Aggressive,Passive-Aggressive
presence-of-spiritual-pain,Presence of Spiritual Pain,Presence of Spiritual Pain
role-of-spirituality-in-community-involvement,Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement
structure,Structure,Structure
eco-tourism-trips,Eco-tourism trips,Eco-tourism trips
chivalrousness,Chivalrousness,Chivalrousness
pilgrimage-participation-count,Pilgrimage participation count,Pilgrimage participation count
mindfulness-facet-observing,Mindfulness facet: Observing,Mindfulness facet: Observing
submissiveness,Submissiveness,Submissiveness
training-cycle-length,Training-cycle length,Training-cycle length
sensitiveness,Sensitiveness,Sensitiveness
negative-affect-frequency,Negative Affect Frequency,Negative Affect Frequency
innovation-and-creativity-components,Innovation and Creativity Components,Innovation and Creativity Components:
achievement-motivation,Achievement Motivation,Achievement Motivation:
feedback-giving-frequency,Feedback-giving frequency,Feedback-giving frequency
dance-cardio-sessions,Dance-cardio sessions,Dance-cardio sessions
enthusiasm,Enthusiasm,Enthusiasm
psychological-construct-social-desirability-tendency,Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency
inattentiveness,Inattentiveness,Inattentiveness
unassertiveness,Unassertiveness,Unassertiveness
decision-making-decisiveness,Decision-making decisiveness,Decision-making decisiveness
sense-of-coherence-score,Sense-of-coherence score,Sense-of-coherence score
justice-mindedness,Justice-mindedness,Justice-mindedness
subscription-count,Subscription count,Subscription count
depression-symptoms,Depression Symptoms,Depression Symptoms
spatial-perception,Spatial perception,Spatial perception
brevity,Brevity,Brevity
orderliness,Orderliness,Orderliness
multiculturalism,Multiculturalism,Multiculturalism
creative-risk-taking-tendency,Creative risk-taking tendency,Creative risk-taking tendency
inefficiency,Inefficiency,Inefficiency
network-basics,Network basics,Network basics
alphabetical-filing-skills,Alphabetical filing skills,Alphabetical filing skills
work-styles,Work Styles,Work Styles
character-strength-perseverance,Character strength: Perseverance,Character strength: Perseverance
competition,Competition,Competition
logical-sequence-identification,Logical Sequence Identification,Logical Sequence Identification
sustainable-transport-usage,Sustainable-transport usage,Sustainable-transport usage
hardworking,Hardworking,Hardworking
emotional-intelligence-measure-impulsiveness,Emotional-intelligence measure: Impulsiveness,Emotional-intelligence measure: Impulsiveness
dishonesty,Dishonesty,Dishonesty
preferred-epistemology,Preferred epistemology,Preferred epistemology
memory-for-sounds,Memory for Sounds,Memory for Sounds
sportsmanship-rating,Sportsmanship rating,Sportsmanship rating
immaturity,Immaturity,Immaturity
health-literacy-level,Health-literacy level,Health-literacy level
estimating-calculations,Estimating Calculations,Estimating Calculations
depression-feelings-of-sadness-and-hopelessness,Depression: Feelings of sadness and hopelessness,Depression: Feelings of sadness and hopelessness
synthesis-of-information,Synthesis of information,Synthesis of information
leadership-potential,Leadership Potential,Leadership Potential:
ethical-standards,Ethical standards,Ethical standards
high-spiritedness,High-spiritedness,High-spiritedness
critical-reasoning,Critical reasoning,Critical reasoning
sleep-disorder-diagnosis,Sleep-disorder diagnosis,Sleep-disorder diagnosis
listening-skills-subcomponents,Listening Skills Subcomponents,Listening Skills Subcomponents:
collaboration,Collaboration,Collaboration
precision-of-movements,Precision of Movements,Precision of Movements
social-boldness,Social Boldness,Social Boldness
auditory-memory,Auditory memory,Auditory memory
psychomotor-ability-subcomponents,Psychomotor Ability Subcomponents,Psychomotor Ability Subcomponents:
organized-lifestyle,Organized lifestyle,Organized lifestyle
skill-endorsements-count,Skill-endorsements count,Skill-endorsements count
mysteriousness,Mysteriousness,Mysteriousness
cultural-identity,Cultural Identity,Cultural Identity
intrinsic-motivation,Intrinsic Motivation,Intrinsic Motivation
impartial-mindedness,Impartial-mindedness,Impartial-mindedness
burnout-symptoms,Burnout Symptoms,Burnout Symptoms
holiness,Holiness,Holiness
selfcontrol,Selfcontrol,Selfcontrol
self-directedness,Self Directedness,SelfDirectedness
encouraging-participation,Encouraging participation,Encouraging participation
impracticalness,Impracticalness,Impracticalness
meeting-deadlines,Meeting Deadlines,Meeting Deadlines
data-analysis,Data Analysis,Data Analysis
social-interaction-skills,Social Interaction Skills,Social Interaction Skills
psychoticism,Psychoticism,Psychoticism
ethical-leadership-rating,Ethical leadership rating,Ethical leadership rating
slothfulness,Slothfulness,Slothfulness
happiness,Happiness,Happiness
contentment-levels,Contentment Levels,Contentment Levels
neuroticism,Neuroticism,Neuroticism
desire-for-excellence,Desire for excellence,Desire for excellence
perceiving,Perceiving,Perceiving
liberalism,Liberalism,Liberalism
inversion-comfort-level,Inversion comfort level,Inversion comfort level
affection,Affection,Affection
numeric-filing-skills,Numeric Filing Skills,Numeric Filing Skills
martyrdom,Martyrdom,Martyrdom
parathyroid-hormone-level,Parathyroid-hormone level,Parathyroid-hormone level
seeking-approval,Seeking approval,Seeking approval
judging-j,Judging (J),Judging (J):
big-five-facet-openness-artistic-interests,Big Five facet Openness – Artistic Interests,Big Five facet Openness – Artistic Interests
psychological-construct-operant-learning-rate,Psychological construct: Operant-Learning rate,Psychological construct: Operant-Learning rate
psychological-construct-need-for-achievement-level,Psychological construct: Need for Achievement level,Psychological construct: Need for Achievement level
cantankerousness,Cantankerousness,Cantankerousness
material-properties-knowledge,Material properties knowledge,Material properties knowledge
hostility,Hostility,Hostility
independence,Independence,Independence
sufi-practice-sufi-retreat-attendance-count,Sufi practice: Sufi retreat attendance count,800. Sufi practice: Sufi retreat attendance count
chromatin-accessibility-score,Chromatin-accessibility score,Chromatin-accessibility score
spiritual-virtue-humility-practice-index,Spiritual virtue: Humility practice index,644. Spiritual virtue: Humility practice index
i-ching-hexagram-36-resonance-level,I Ching hexagram 36 resonance level,754. I Ching hexagram 36 resonance level
well-being-component-engagement,Well-being component: Engagement,Well-being component: Engagement
need-for-social-interaction,Need for social interaction,Need for social interaction
peer-collaboration-hours,Peer-collaboration hours,Peer-collaboration hours
arts-and-humanities,Arts and Humanities,Arts and Humanities
religious-practice-quran-khatam-cycles-per-year,Religious practice: Quran khatam cycles per year,596. Religious practice: Quran khatam cycles per year
bahai-spiritual-metric-ridvan-festival-participation,Bahá’í spiritual metric: Ridván festival participation,926. Bahá’í spiritual metric: Ridván festival participation
compassion,Compassion,Compassion
information-retention,Information Retention,Information Retention
eye-contact-duration,Eye-contact duration,Eye-contact duration
self-righteousness,Self-righteousness,Self-righteousness
general-mood-and-attitude,General Mood and Attitude,General Mood and Attitude
serotonin-transporter-availability,Serotonin transporter availability,Serotonin transporter availability
contribution-to-group-goals,Contribution to Group Goals,Contribution to Group Goals
dignity,Dignity,Dignity
hexaco-personality-inventory-facets,HEXACO Personality Inventory Facets,HEXACO Personality Inventory Facets:
evaluating-solutions,Evaluating Solutions,Evaluating Solutions
input,Input,Input
discreteness,Discreteness,Discreteness
energy-healing-practice-reiki-sessions-year,Energy-healing practice: Reiki sessions / year,607. Energy-healing practice: Reiki sessions / year
astrology-rising-sign-is-scorpio,Astrology: Rising sign is Scorpio,692. Astrology: Rising sign is Scorpio
character-strength-social-intelligence,Character strength: Social Intelligence,Character strength: Social Intelligence
bravery,Bravery,Bravery
childhood-experiences,Childhood Experiences,Childhood Experiences
data-sharing-consent-level,Data-sharing consent level,Data-sharing consent level
vision-check-frequency,Vision-check frequency,Vision-check frequency
physical-violence-exposure,Physical-violence exposure,Physical-violence exposure
macronutrient-ratio-fat,Macronutrient ratio: fat,Macronutrient ratio: fat
cooking-and-culinary-arts,Cooking and Culinary Arts,Cooking and Culinary Arts
language-use,Language use,Language use
dance-style-mastery-diversity,Dance-style mastery diversity,Dance-style mastery diversity
satya-adherence,Satya Adherence,Satya Adherence
ethnocentrism,Ethnocentrism,Ethnocentrism
emotional-boundaries,Emotional Boundaries,Emotional Boundaries
creativity-in-solutions,Creativity in solutions,Creativity in solutions
psychological-construct-hope-scale,Psychological construct: Hope scale,Psychological construct: Hope scale
practice-frequency-walking-meditation,Practice frequency: Walking meditation,565. Practice frequency: Walking meditation
depression-dep,Depression (DEP),Depression (DEP)
understanding-mathematical-concepts,Understanding Mathematical Concepts,Understanding Mathematical Concepts
hypomania-ma,Hypomania (Ma),Hypomania (Ma)
goal-directed-behavior,Goal-Directed Behavior,Goal-Directed Behavior
depth-of-emotional-connections,Depth of Emotional Connections,Depth of Emotional Connections
binding-foundations-index,Binding foundations index,Binding foundations index
ego-dissolution-frequency,Ego Dissolution Frequency,Ego Dissolution Frequency
activator-turning-thoughts-into-action,Activator: Turning thoughts into action,Activator: Turning thoughts into action
gnostic-spiritual-metric-archon-meditation-frequency,Gnostic spiritual metric: Archon meditation frequency,967. Gnostic spiritual metric: Archon meditation frequency
exemplariness,Exemplariness,Exemplariness
moral-and-ethical-parameters,Moral and Ethical Parameters,Moral and Ethical Parameters:
submission,Submission,Submission:
frankness,Frankness,Frankness
psychological-construct-psychological-safety-climate,Psychological construct: Psychological Safety climate,Psychological construct: Psychological Safety climate
psychological-construct-self-compassion-total,Psychological construct: Self-Compassion total,Psychological construct: Self-Compassion total
psychological-construct-executive-function-composite,Psychological construct: Executive-Function composite,Psychological construct: Executive-Function composite
rebelliousness,Rebelliousness,Rebelliousness
volunteer-work,Volunteer Work,Volunteer Work
intellect,Intellect,Intellect
use-of-mathematical-formulas,Use of Mathematical Formulas,Use of Mathematical Formulas
coarseness,Coarseness,Coarseness
behavioral-tendencies-and-subcomponents,Behavioral Tendencies and Subcomponents,Behavioral Tendencies and Subcomponents:
sensitivity,Sensitivity,Sensitivity
divided-attention-ability,Divided Attention Ability,Divided Attention Ability
psychological-construct-acculturative-stress-score,Psychological construct: Acculturative Stress score,Psychological construct: Acculturative Stress score
dauntlessness,Dauntlessness,Dauntlessness
concreteness,Concreteness,Concreteness
hysteria-hy,Hysteria (Hy),Hysteria (Hy)
jewish-spiritual-metric-sukkot-lulav-shaking-days,Jewish spiritual metric: Sukkot lulav-shaking days,911. Jewish spiritual metric: Sukkot lulav-shaking days
sentence-structure,Sentence Structure,Sentence Structure
esteem-needs,Esteem Needs,Esteem Needs
understanding-mechanical-concepts,Understanding mechanical concepts,Understanding mechanical concepts
auditory-memory-recall,Auditory Memory Recall,Auditory Memory Recall
storytelling-proficiency,Storytelling proficiency,Storytelling proficiency
music-lessons-years,Music-lessons years,Music-lessons years
warmheartedness,Warmheartedness,Warmheartedness
self-effacement,Self-effacement,Self-effacement
outspokenness,Outspokenness,Outspokenness
sleep-environment-temperature,Sleep-environment temperature,Sleep-environment temperature
comprehension-of-spoken-information,Comprehension of spoken information,Comprehension of spoken information
blissfulness,Blissfulness,Blissfulness
sequential-memory-recall,Sequential Memory Recall,Sequential Memory Recall
withdrawnness,Withdrawnness,Withdrawnness
hindu-spiritual-metric-yoga-discipline-hours-week,Hindu spiritual metric: Yoga discipline hours / week,892. Hindu spiritual metric: Yoga discipline hours / week
conservatism,Conservatism,Conservatism
adaptability-and-flexibility-subcomponents,Adaptability and Flexibility Subcomponents,Adaptability and Flexibility Subcomponents:
hindu-spiritual-metric-vrata-vows-observed-year,Hindu spiritual metric: Vrata vows observed / year,898. Hindu spiritual metric: Vrata vows observed / year
ardency,Ardency,Ardency
aesthetic-appreciation,Aesthetic Appreciation,Aesthetic Appreciation
transactional-leadership,Transactional Leadership,Transactional Leadership:
value-orientation-universalism,Value orientation: Universalism,Value orientation: Universalism
perseverance,Perseverance,Perseverance
regularity-of-self-reflection,Regularity of Self-Reflection,Regularity of Self-Reflection
controlling-reactions,Controlling Reactions,Controlling Reactions
psychological-construct-cultural-intelligence-behavioral,Psychological construct: Cultural Intelligence – Behavioral,Psychological construct: Cultural Intelligence – Behavioral
metabolic-rate-low-or-high,Metabolic Rate (Low or High),Metabolic Rate (Low or High)
dietary-habits,Dietary Habits,Dietary Habits
significance-desire-to-make-an-impact,Significance: Desire to make an impact,Significance: Desire to make an impact
psychological-construct-resilience-trait-score,Psychological construct: Resilience-Trait score,Psychological construct: Resilience-Trait score
boredom-susceptibility,Boredom Susceptibility,Boredom Susceptibility
psychological-construct-consummatory-pleasure-scale,Psychological construct: Consummatory Pleasure scale,Psychological construct: Consummatory Pleasure scale
leadership-styles-and-behaviors,Leadership Styles and Behaviors,Leadership Styles and Behaviors:
i-ching-hexagram-5-resonance-level,I Ching hexagram 5 resonance level,723. I Ching hexagram 5 resonance level
macronutrient-ratio-carbs,Macronutrient ratio: carbs,Macronutrient ratio: carbs
passport-stamps-count,Passport-stamps count,Passport-stamps count
local-food-sourcing,Local-food sourcing %,Local-food sourcing %
patient-care-orientation,Patient care orientation,Patient care orientation
soft-skill-training-hours,Soft-skill training hours,Soft-skill training hours
graffiti-appreciation,Graffiti appreciation,Graffiti appreciation
preference-for-home-cooked-vs-restaurant-meals,Preference for Home-Cooked vs Restaurant Meals,Preference for Home-Cooked vs Restaurant Meals
immune-response-age,Immune-response age,Immune-response age
social-cognition-variable-cognitive-empathy,Social-cognition variable: Cognitive Empathy,Social-cognition variable: Cognitive Empathy
kink-interest-diversity,Kink-interest diversity,Kink-interest diversity
adaptability-and-flexibility,Adaptability and Flexibility,Adaptability and Flexibility:
judging-consequences,Judging Consequences,Judging Consequences
harmfulness,Harmfulness,Harmfulness
affinity,Affinity,Affinity
abasement,Abasement,Abasement
chronic-pain-presence,Chronic pain presence,Chronic pain presence
discernment-practice-hours-week,Discernment practice hours / week,520. Discernment practice hours / week
initiative,Initiative,Initiative
courageousness,Courageousness,Courageousness
joyfulness,Joyfulness,Joyfulness
suspicion,Suspicion,Suspicion
basophil-count,Basophil count,Basophil count
attachment-avoidance-score,Attachment avoidance score,Attachment avoidance score
time-orientation-end-points,Time Orientation End Points,Time Orientation End Points:
brazenness,Brazenness,Brazenness
talkativeness,Talkativeness,Talkativeness
equitableness,Equitableness,Equitableness
ideas-generated-day,Ideas generated/day,Ideas generated/day
originality,Originality,Originality
fearfulness-fear-of-physical-dangers,Fearfulness: Fear of physical dangers,Fearfulness: Fear of physical dangers
dance-rehearsal-hours-week,Dance rehearsal hours/week,Dance rehearsal hours/week
practice-frequency-mantra-meditation,Practice frequency: Mantra meditation,561. Practice frequency: Mantra meditation
public-transport-km-week,Public-transport km/week,Public-transport km/week
social-desirability-bias,Social Desirability Bias,Social Desirability Bias
i-ching-hexagram-43-resonance-level,I Ching hexagram 43 resonance level,761. I Ching hexagram 43 resonance level
disagreeableness,Disagreeableness,Disagreeableness
participation-in-community-activities,Participation in Community Activities,Participation in Community Activities
impudence,Impudence,Impudence
analogies,Analogies,Analogies
clumsiness,Clumsiness,Clumsiness
tendency-toward-compromise-or-confrontation,Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation
i-ching-hexagram-19-resonance-level,I Ching hexagram 19 resonance level,737. I Ching hexagram 19 resonance level
robotics-interaction-frequency,Robotics-interaction frequency,Robotics-interaction frequency
casual-lifestyle,Casual lifestyle,Casual lifestyle
collectedness,Collectedness,Collectedness
reliance-on-context,Reliance on context,Reliance on context
delegation-skills,Delegation skills,Delegation skills
i-ching-hexagram-49-resonance-level,I Ching hexagram 49 resonance level,767. I Ching hexagram 49 resonance level
managing-emotions,Managing emotions,Managing emotions
scripture-memorization-verses,Scripture memorization verses,Scripture memorization verses
conventional,Conventional,Conventional
hindu-spiritual-metric-bhagavad-gita-study-hours,Hindu spiritual metric: Bhagavad-Gita study hours,890. Hindu spiritual metric: Bhagavad-Gita study hours
open-source-contributions,Open-source contributions,Open-source contributions
psychological-construct-social-conformity-tendency,Psychological construct: Social Conformity tendency,Psychological construct: Social Conformity tendency
individuality,Individuality,Individuality
i-ching-hexagram-22-resonance-level,I Ching hexagram 22 resonance level,740. I Ching hexagram 22 resonance level
attachment-style-secure,Attachment style: Secure,Attachment style: Secure
intelligence-quotient-iq,Intelligence Quotient (IQ),Intelligence Quotient (IQ)
blog-subscriber-count,Blog-subscriber count,Blog-subscriber count
non-verbal-communication-skills,Non-Verbal Communication Skills,Non-Verbal Communication Skills
drug-use-history,Drug-use history,Drug-use history
commute-time-day,Commute time/day,Commute time/day
decision-making-speed,Decision-making speed,Decision-making speed
psychological-construct-excuse-making-tendency,Psychological construct: Excuse-Making tendency,Psychological construct: Excuse-Making tendency
peer-to-peer-lending-usage,Peer-to-peer lending usage,Peer-to-peer lending usage
psychological-construct-eye-contact-avoidance-score,Psychological construct: Eye-Contact avoidance score,Psychological construct: Eye-Contact avoidance score
social-cognition-variable-faux-pas-recognition-accuracy,Social-cognition variable: Faux Pas Recognition accuracy,Social-cognition variable: Faux Pas Recognition accuracy
conscientiousness-c,Conscientiousness (C),Conscientiousness (C):
use-of-nature-as-a-stress-reliever,Use of Nature as a Stress Reliever,Use of Nature as a Stress Reliever
attitude-toward-learning,Attitude toward learning,Attitude toward learning
conscientiousness-facets,Conscientiousness Facets,Conscientiousness Facets:
honesty-humility-trait-score,Honesty-humility trait score,Honesty-humility trait score
digital-nomad-months,Digital-nomad months,Digital-nomad months
religious-coping-negative,Religious coping – Negative,516. Religious coping – Negative
snacking-behavior,Snacking Behavior,Snacking Behavior
aura-color-perception,Aura-color perception,Aura-color perception
sacred-text-engagement-zohar-kabbalah-study-hours,Sacred text engagement: Zohar (Kabbalah) study hours,638. Sacred text engagement: Zohar (Kabbalah) study hours
motivational-drivers,Motivational Drivers,Motivational Drivers:
cloud-backup-frequency,Cloud-backup frequency,Cloud-backup frequency
learning-style,Learning Style,Learning Style
islamic-practice-seerah-study-hours,Islamic practice: Seerah study hours,872. Islamic practice: Seerah study hours
safety-compliance,Safety compliance,Safety compliance
sensationalism,Sensationalism,Sensationalism
nationality,Nationality,Nationality
drollness,Drollness,Drollness
cooperation,Cooperation,Cooperation
breakfast-skipping-frequency,Breakfast-skipping frequency,Breakfast-skipping frequency
sikh-spiritual-metric-kirtan-participation-frequency,Sikh spiritual metric: Kirtan participation frequency,922. Sikh spiritual metric: Kirtan participation frequency
impulsivity,Impulsivity,Impulsivity
museum-visits-year,Museum visits/year,Museum visits/year
choir-participation-years,Choir participation years,Choir participation years
delegation-ability,Delegation Ability,Delegation Ability
kabbalah-sephira-balance-tiferet,Kabbalah sephira balance: Tiferet,788. Kabbalah sephira balance: Tiferet
desire-to-influence-others,Desire to influence others,Desire to influence others
vivacity,Vivacity,Vivacity
genialness,Genialness,Genialness
cognitive-measure-working-memory-index,Cognitive measure: Working Memory Index,Cognitive measure: Working Memory Index
ethical-practices,Ethical practices,Ethical practices
new-age-spiritual-metric-channeling-sessions-year,New-Age spiritual metric: Channeling sessions / year,945. New-Age spiritual metric: Channeling sessions / year
civility,Civility,Civility
sleep-apnea,Sleep Apnea,Sleep Apnea
classiness,Classiness,Classiness
control-over-situations,Control over situations,Control over situations
time-outdoors-day-h,Time outdoors/day (h),Time outdoors/day (h)
effeteness,Effeteness,Effeteness
polygenic-risk-cardiovascular-disease,Polygenic risk: cardiovascular disease,Polygenic risk: cardiovascular disease
psychological-construct-identity-diffusion-level,Psychological construct: Identity Diffusion level,Psychological construct: Identity Diffusion level
learning-through-movement,Learning through movement,Learning through movement
caffeine-sensitivity-gene,Caffeine sensitivity gene,Caffeine sensitivity gene
hatefulness,Hatefulness,Hatefulness
persistence,Persistence,Persistence:
psychological-construct-perfectionistic-strivings,Psychological construct: Perfectionistic Strivings,Psychological construct: Perfectionistic Strivings
wake-time-consistency,Wake-time consistency,Wake-time consistency
numerical-reasoning,Numerical Reasoning,Numerical Reasoning:
social-cognition-variable-mentalizing-network-activation,Social-cognition variable: Mentalizing network activation,Social-cognition variable: Mentalizing network activation
patriotism,Patriotism,Patriotism
leadership-styles,Leadership Styles,Leadership Styles:
servility,Servility,Servility
i-ching-hexagram-24-resonance-level,I Ching hexagram 24 resonance level,742. I Ching hexagram 24 resonance level
enneagram-personality-types,Enneagram Personality Types,Enneagram Personality Types:
stress-recovery-ability,Stress Recovery Ability,Stress Recovery Ability
troubleshooting-technical-issues,Troubleshooting technical issues,Troubleshooting technical issues
defense-mechanism-tendency-introjection,Defense-mechanism tendency: Introjection,Defense-mechanism tendency: Introjection
irritability,Irritability,Irritability
travel-companions-diversity,Travel-companions diversity,Travel-companions diversity
sacred-text-engagement-quran-surahs-memorized,Sacred text engagement: Quran surahs memorized,627. Sacred text engagement: Quran surahs memorized
trust-in-others,Trust in others,Trust in others
gamified-finance-app-usage,Gamified-finance-app usage,Gamified-finance-app usage
buddhist-practice-eightfold-path-right-intention-level,Buddhist practice: Eightfold Path – Right Intention level,823. Buddhist practice: Eightfold Path – Right Intention level
caffeine-intake-mg-day,Caffeine intake (mg/day),Caffeine intake (mg/day)
comfort-with-vulnerability,Comfort with Vulnerability,Comfort with Vulnerability
anticipativeness,Anticipativeness,Anticipativeness
additional-common-parameters-and-their-end-points,Additional Common Parameters and Their End Points,Additional Common Parameters and Their End Points:
avoiding,Avoiding,Avoiding:
home-security-system-presence,Home-security-system presence,Home-security-system presence
hexaco-domain-honesty-humility,HEXACO domain: Honesty-Humility,HEXACO domain: Honesty-Humility
eating-habits-home-cooked-vs-eating-out,Eating Habits (Home-Cooked vs. Eating Out),Eating Habits (Home-Cooked vs. Eating Out)
decision-making-confidence,Decision-Making Confidence,Decision-Making Confidence
alignment-with-societal-roles,Alignment with societal roles,Alignment with societal roles
connectedness-belief-in-interconnections,Connectedness: Belief in interconnections,Connectedness: Belief in interconnections
quirkiness,Quirkiness,Quirkiness
creative-resilience,Creative resilience,Creative resilience
rapid-cognitive-processing,Rapid cognitive processing,Rapid cognitive processing
cordiality,Cordiality,Cordiality
types-of-mindfulness-techniques-used,Types of Mindfulness Techniques Used,Types of Mindfulness Techniques Used
economic-reasoning,Economic reasoning,Economic reasoning
conformity,Conformity,Conformity
pet-enrichment-activities-count,Pet-enrichment activities count,Pet-enrichment activities count
aestheticism,Aestheticism,Aestheticism
type-of-support-preferred-emotional-vs-practical,Type of Support Preferred (Emotional vs. Practical),Type of Support Preferred (Emotional vs. Practical)
mental-arithmetic-speed,Mental Arithmetic Speed,Mental Arithmetic Speed
patience-resistance-to-anger,Patience: Resistance to anger,Patience: Resistance to anger
flawlessness,Flawlessness,Flawlessness
self-efficacy,Self-Efficacy,Self-Efficacy
computer-skills,Computer Skills,Computer Skills:
jewish-spiritual-metric-shabbat-candle-lighting-consistency,Jewish spiritual metric: Shabbat candle-lighting consistency,899. Jewish spiritual metric: Shabbat candle-lighting consistency
spelling-accuracy,Spelling Accuracy,Spelling Accuracy
sufi-practice-dhikr-repetitions-day,Sufi practice: Dhikr repetitions / day,793. Sufi practice: Dhikr repetitions / day
peacefulness,Peacefulness,Peacefulness
doggedness,Doggedness,Doggedness
decency,Decency,Decency
processed-food-frequency,Processed-food frequency,Processed-food frequency
